num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200900000315;0;7;0;0;2;1;15;A01
200900000316;0;32;0;0;2;1;1;B01
200900000316;0;7;0;0;2;2;15;A01
200900000317;0;33;0;0;1;1;17;A01
200900000318;0;30;0;0;2;6;1;B01
200900000318;0;7;0;0;2;2;15;A01
200900000319;0;7;0;0;1;1;1;A01
200900000320;0;33;0;0;2;4;12;A01
200900000320;0;7;0;0;2;8;1;C01
200900000320;0;31;0;0;2;1;18;B01
200900000321;0;33;0;0;2;3;2;A01
200900000321;0;10;0;0;2;5;2;B01
200900000322;0;10;0;0;1;3;15;A01
200900000323;0;33;0;0;0;0;1;A01
200900000324;0;30;0;0;2;1;1;A01
200900000324;0;7;0;0;2;8;15;B01
200900000325;0;33;0;0;1;1;1;A01
200900000326;0;7;0;0;2;5;12;A01
200900000326;0;33;0;0;2;0;1;B01
200900000327;0;10;0;0;2;5;2;B01
200900000327;0;32;0;0;2;1;2;A01
200900000328;0;33;0;0;2;4;23;B01
200900000328;0;7;0;0;2;1;2;A01
200900000329;0;32;0;0;1;2;5;A01
200900000330;0;33;0;0;2;7;1;B01
200900000330;0;7;0;0;2;6;11;A01
200900000331;0;7;0;0;2;7;23;B01
200900000331;0;33;0;1;2;7;2;A01
200900000332;0;7;0;0;2;4;2;B01
200900000332;0;2;0;0;2;0;2;A01
200900000333;0;7;0;0;2;3;1;B01
200900000333;0;33;0;0;2;4;12;A01
200900000334;0;7;0;0;2;6;23;B01
200900000334;0;7;0;14;2;2;2;A01
200900000335;1;2;0;0;1;7;16;Z01
200900000336;0;32;0;0;0;0;1;A01
200900000337;0;7;0;0;2;8;1;B01
200900000337;0;30;0;0;2;1;1;A01
200900000338;0;7;0;0;2;2;1;B01
200900000338;0;7;0;0;2;3;1;A01
200900000339;0;7;0;0;2;6;15;A01
200900000339;0;30;0;0;2;6;1;B01
200900000340;0;33;0;0;0;7;21;A01
200900000341;0;30;0;0;0;0;1;A01
200900000342;0;7;0;0;2;7;12;A01
200900000342;0;32;0;0;2;3;1;B01
200900000343;0;30;0;1;0;7;21;A01
200900000344;0;2;0;2;0;1;14;A01
200900000345;0;7;0;9;0;2;1;A01
200900000346;0;2;0;0;2;1;5;A01
200900000346;0;7;0;0;2;7;1;B01
200900000347;0;7;0;1;2;3;7;B01
200900000347;0;7;0;0;2;2;1;A01
200900000348;1;7;0;0;1;1;1;Z01
200900000349;0;7;0;0;1;3;1;A01
200900000350;0;32;0;0;0;0;21;A01
200900000351;0;7;0;0;2;6;2;B01
200900000351;0;7;0;0;2;2;2;A01
200900000352;0;7;0;0;2;3;22;A01
200900000352;0;1;0;0;2;1;1;B01
200900000353;0;7;0;0;2;1;2;A01
200900000353;0;7;0;0;2;1;2;D01
200900000353;0;7;0;0;2;4;2;B01
200900000353;0;7;0;0;2;1;2;C01
200900000354;0;1;0;0;1;1;1;A01
200900000355;0;30;0;1;0;1;5;A01
200900000356;0;7;0;0;1;1;1;A01
200900000357;0;32;0;0;2;1;13;A01
200900000357;0;32;0;0;2;1;1;B01
200900000358;0;10;0;0;2;5;4;A01
200900000358;0;31;0;0;2;1;23;B01
200900000359;0;32;0;0;1;4;1;A01
200900000360;0;7;0;0;2;1;1;B01
200900000360;0;7;0;0;2;1;15;A01
