num_acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201400000268;14;9;29;1415;1;2;1;1;6;150;rue de l'eglise;M;5040753;177280;620
201400000269;14;10;12;1630;1;2;1;1;6;447;Avenu Francois mitterran;M;5037181;203412;620
201400000270;14;10;17;2315;3;2;1;1;1;661;route nationale;M;5038365;198325;620
201400000271;14;5;23;1745;1;1;1;1;6;811;;M;5063711;224449;620
201400000272;14;6;14;1215;1;2;1;1;3;811;30 chauss?e brunehaut;M;5063043;226762;620
201400000273;14;6;22;1200;1;2;1;1;3;14;ROUTE DE ROQUETOIRE;M;5064909;238979;620
201400000274;14;9;16;2015;2;1;1;1;6;14;;M;5063509;234991;620
201400000275;14;8;22;1600;1;2;1;1;3;684;288 rue de Cassel;M;5070315;235448;620
201400000276;14;10;4;1430;1;2;1;1;6;684;rue nationale;M;5069385;235638;620
201400000277;14;11;6;245;3;2;1;1;6;531;ROUTE DE BERTHEM;M;5083317;202828;620
201400000278;14;11;22;1815;5;2;1;1;6;618;RD  943;M;5081862;207800;620
201400000279;14;11;27;415;5;2;1;1;1;618;rue de Gravelines;M;5081938;207652;620
201400000280;14;3;16;2045;3;2;1;1;6;304;rue des taleuts;M;5058524;226445;620
201400000281;14;9;7;1215;1;1;1;1;6;67;;M;5063838;215384;620
201400000282;14;9;11;2230;3;1;2;1;3;294;;M;5060185;227768;620
201400000283;14;12;23;1915;3;1;1;8;5;53;;M;5055942;209758;620
201400000284;14;7;29;1715;1;1;1;1;3;898;;M;5072274;219557;620
201400000285;14;9;5;1730;1;1;2;1;3;495;;M;5063887;196798;620
201400000286;14;9;23;745;1;1;1;1;2;788;;M;0;0;620
201400000287;14;10;2;2015;2;2;1;1;3;674;route d acquin D 208;M;5073494;212615;620
201400000288;14;11;1;2130;3;1;1;1;6;644;;M;5064735;214469;620
201400000289;14;8;5;1700;1;1;1;1;3;180;;M;5040580;236491;620
201400000290;14;8;15;600;2;1;1;8;3;813;;M;5041602;240034;620
201400000291;14;9;21;1330;1;1;1;1;3;352;;M;5032852;231011;620
201400000292;14;10;26;1645;2;2;1;1;6;340;rue Amand Montois;M;5049366;242431;620
201400000293;14;11;14;1845;3;2;1;1;6;467;CD 104;M;5039794;221510;620
201400000294;14;11;14;1845;3;1;1;2;1;357;;M;5038310;213774;620
201400000295;14;1;9;845;1;1;1;1;6;63;;M;5027485;253647;620
201400000296;14;2;23;545;3;1;1;1;6;630;;M;5029230;254066;620
201400000297;14;3;13;1915;3;1;1;5;3;70;;M;5038774;245905;620
201400000298;14;3;19;1700;1;1;1;1;1;70;;M;5038795;245864;620
201400000299;14;4;27;1545;1;1;1;1;1;415;;M;5032518;265835;620
201400000300;14;7;9;1945;2;1;1;3;6;399;;M;5031889;261213;620
201400000301;14;7;13;1100;1;1;1;2;6;199;;M;5038225;263047;620
201400000302;14;10;3;1715;1;2;6;1;3;45;Rue du General DE GAULLE;M;5035151;258910;620
201400000303;14;10;7;2100;3;1;1;2;3;45;;M;5034877;259519;620
201400000304;14;5;16;845;1;2;1;1;6;399;rue de  LA POSTE;M;5030580;261160;620
201400000305;14;5;16;1745;1;2;1;1;3;415;;M;5033194;264115;620
201400000306;14;10;27;1615;1;1;1;1;7;385;;M;5024645;246289;620
201400000307;14;12;15;2045;3;1;1;8;5;86;;M;0;0;620
201400000308;14;8;23;1830;1;2;1;8;3;361;Avenue Philippe Lebas;M;5027839;227409;620
201400000309;14;9;30;1015;1;1;1;1;2;156;;M;4990200;241077;800
201400000310;14;3;14;300;3;1;1;5;7;622;;M;0;0;800
201400000311;14;12;11;1945;3;1;1;3;6;71;;M;5012428;233821;800
201400000312;14;3;30;1230;1;1;1;1;6;166;;M;0;0;800
201400000313;14;1;6;1815;3;1;1;2;7;541;;M;0;0;800
201400000314;14;1;27;1730;2;1;1;1;7;10;;M;0;0;800
201400000315;14;4;13;1815;1;1;1;1;1;232;;M;0;0;800
201400000316;14;1;30;1330;1;2;1;1;6;16;rue de birmigham;M;0;0;800
201400000317;14;7;18;830;1;1;1;1;1;16;;M;0;0;800
201400000318;14;10;3;1215;1;2;1;1;6;16;rue jean mermoz;M;4999556;265480;800
201400000319;14;10;19;1300;1;1;1;1;6;16;;M;4999039;261004;800
201400000320;14;12;11;1730;5;2;1;3;6;16;91, AV DE LA REPUBLIQUE;M;5000438;265722;800
201400000321;14;12;12;1700;5;2;1;2;6;16;8, RUE DES ILLIEUX;M;5000496;265276;800
201400000322;14;12;21;1545;1;2;6;1;3;16;PL D'ARMES;M;5000364;264798;800
201400000323;14;1;18;1030;1;1;2;1;3;572;;M;0;0;800
201400000324;14;9;26;1300;1;2;1;1;1;579;152 R DE PARIS;M;4972459;306666;800
201400000325;14;9;27;1730;1;1;2;1;3;465;;M;4974334;291281;800
201400000326;14;2;2;445;5;2;3;1;6;460;01 Grande rue;M;0;0;20
201400000327;14;3;22;2000;4;1;1;1;3;238;;M;0;0;20
201400000328;14;5;5;1830;1;1;2;1;3;737;;M;0;0;20
201400000329;14;8;23;1900;1;2;1;1;6;602;rue de la vendee;M;0;0;20
201400000330;14;3;30;100;5;2;1;1;6;173;06 Boulevard de l'Europe;M;4962609;321384;20
201400000331;14;9;15;915;1;1;2;1;3;788;;M;0;0;20
201400000332;14;10;9;115;3;1;1;2;6;680;;M;0;0;20
201400000333;14;10;9;1700;1;1;1;1;6;336;;M;0;0;20
201400000334;14;11;18;1100;1;1;5;1;3;336;;M;0;0;20
201400000335;14;11;21;1645;2;1;1;1;6;173;;M;0;0;20
201400000336;14;12;28;715;5;2;6;1;6;173;boulevard de l'Europe;M;0;0;20
201400000337;14;1;24;1855;3;1;1;1;1;656;;M;0;0;20
201400000338;14;1;23;1815;2;1;1;2;1;602;;M;0;0;20
201400000339;14;1;24;525;3;1;1;9;2;174;;M;0;0;20
201400000340;14;7;27;1700;1;2;1;1;6;93;rue du stade;M;4952068;315296;20
201400000341;14;8;30;1130;1;1;1;1;6;159;;M;0;0;20
201400000342;14;10;7;830;1;2;1;1;1;18;ROUTE DE COUCY;M;0;0;20
201400000343;14;1;19;615;3;1;1;1;5;282;;M;0;0;20
201400000344;14;4;23;1700;1;2;3;1;3;282;CD 181;M;0;0;20
201400000345;14;10;20;1645;1;2;1;1;1;346;D977  PR 32+230;M;0;0;20
201400000346;14;1;18;1645;2;2;1;1;3;325;24 route de soudan;M;0;0;20
201400000347;14;3;23;445;5;2;1;1;6;290;27 residence les bleuets;M;4902834;336792;20
