num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200800000309;5;0;0;;2;1;0;0;0;1;0;48;0;1;0;1;0
200800000310;3;1075;0;;3;0;0;0;0;1;2;0;47;1;0;1;0
200800000311;2;85;0;;2;2;102;200;0;1;3;0;0;1;0;1;0
200800000312;3;1091;0;;2;0;15;0;0;2;1;0;62;2;0;1;0
200800000313;3;1091;0;;2;0;8;800;0;1;2;0;70;2;0;1;0
200800000314;3;524;0;;3;0;11;900;0;1;1;4;75;1;0;3;0
200800000315;3;1092;0;;2;2;17;300;0;1;1;0;79;0;0;1;0
200800000316;4;0;0;;1;1;0;0;0;1;1;0;55;1;0;1;0
200800000317;4;0;0;;2;2;0;0;0;2;1;0;0;2;0;1;0
200800000318;9;0;0;;2;2;0;0;0;0;2;0;66;1;0;4;0
200800000319;3;1092;0;;2;2;46;100;0;0;1;0;65;2;0;3;0
200800000320;3;519;0;;3;2;0;0;0;1;1;0;0;1;0;1;0
200800000321;3;1092;0;;2;2;20;800;0;1;2;0;85;2;0;3;0
200800000322;3;54;0;B;2;2;3;0;0;1;1;36;0;1;0;1;0
200800000323;3;65;0;;2;2;6;0;0;1;3;0;74;1;0;1;0
200800000324;3;52;0;;2;1;6;700;0;2;3;60;0;9;0;3;0
200800000325;3;520;0;;2;0;0;0;0;2;2;0;0;1;0;3;0
200800000326;3;50;0;;2;2;0;0;0;1;1;0;45;1;0;1;0
200800000327;3;50;0;F;2;2;0;0;0;1;1;25;60;1;5;1;0
200800000328;3;140;0;F;2;0;11;825;0;0;1;50;0;7;0;1;0
200800000329;3;33;0;;2;2;2;0;0;1;1;0;70;2;0;3;0
200800000330;3;16;0;;2;2;0;0;0;4;2;0;0;1;0;1;0
200800000331;5;0;0;;2;1;0;0;0;0;1;0;0;1;0;1;0
200800000332;3;26;0;;2;2;0;0;0;1;1;0;0;1;0;1;0
200800000333;4;0;0;;2;2;0;0;0;1;1;0;50;1;0;3;0
200800000334;2;7;0;;2;2;13;100;0;2;3;25;105;2;0;1;0
200800000335;3;4;0;;2;2;2;800;0;1;1;10;132;1;5;1;0
200800000336;3;36;0;;2;2;0;0;0;1;1;0;65;2;0;1;0
200800000337;3;1007;0;B;2;0;1;500;0;1;1;0;0;1;0;1;0
200800000338;3;37;0;;2;0;0;0;0;1;1;0;0;1;0;1;0
200800000339;3;519;0;;2;0;0;0;0;0;1;0;0;2;0;1;0
200800000340;4;0;0;;2;2;46;778;0;1;3;0;50;1;0;1;3
200800000341;3;518;0;;1;2;0;0;0;1;1;0;123;2;5;1;0
200800000342;3;518;0;;2;2;16;100;0;1;1;0;70;2;0;1;0
200800000343;3;502;0;;2;0;0;0;0;1;1;0;74;1;0;1;0
200800000344;6;0;0;;0;0;0;0;0;1;1;0;0;1;0;0;3
200800000345;9;0;0;;2;2;0;0;0;1;0;0;0;9;0;1;0
200800000346;4;0;0;;2;2;0;0;0;1;4;53;0;1;0;1;0
200800000347;4;1;0;;2;1;0;0;0;1;0;0;40;1;0;3;0
200800000348;4;0;0;;2;2;0;0;0;1;0;0;0;2;5;1;3
200800000349;3;518;0;;2;0;0;0;0;1;1;0;0;1;5;1;0
200800000350;3;124;0;;2;2;19;600;0;1;1;0;0;1;0;1;0
200800000351;3;501;0;;2;2;9;400;0;1;2;0;70;7;0;1;0
200800000352;3;112;0;;2;2;18;600;0;0;1;0;69;1;0;1;0
200800000353;3;1082;0;;2;2;28;0;0;1;1;0;100;1;5;1;0
200800000354;3;1089;0;;2;2;7;700;0;2;3;0;76;2;0;3;0
200800000355;3;3;0;;2;2;4;50;0;2;3;0;58;2;0;3;0
200800000356;3;104;0;;2;2;22;900;0;3;3;0;58;8;0;1;0
200800000357;3;104;0;;2;0;14;0;0;1;1;0;68;1;0;1;0
200800000358;3;1089;2;;2;0;0;0;0;1;3;180;75;7;0;1;0
200800000359;3;10;0;;2;2;25;0;0;1;1;0;53;1;0;1;0
200800000360;3;12;0;;2;2;22;500;0;2;1;0;73;1;0;1;0
